2018-08-09 22:08:57,"b""RT @JimCMackintosh: Wee mention of an event this Sunday at Cargill's Bistro, Blairgowrie from 3pm.\nPoetry from myself, Jon Plunkett &amp; Morag\xe2\x80\xa6"""
2018-08-09 22:02:20,b'Weather Snapshot brought to you by @Cargill Deicing Technology. Find more forecast info at https://t.co/larcXaeh7J\xe2\x80\xa6 https://t.co/i4jRCJ2AwM'
2018-08-09 22:02:18,b'Weather Snapshot brought to you by @Cargill Deicing Technology. Find more forecast info at https://t.co/akYPvTJdei\xe2\x80\xa6 https://t.co/MIGty1DdVK'
2018-08-09 21:49:28,"b""RT @JimCMackintosh: Wee mention of an event this Sunday at Cargill's Bistro, Blairgowrie from 3pm.\nPoetry from myself, Jon Plunkett &amp; Morag\xe2\x80\xa6"""
2018-08-09 21:47:19,"b'RT @TransfersFG_EN: BOURNEMOUTH  TRANSFERS:\xe2\x9a\xa0\xef\xb8\x8f\n\xe2\x9d\x8c: Afobe,Cargill, Mahoney, Federici,Quigley, Ndoli, Allsop,Surridge,Matthews.\n\xe2\x9c\x85Ramsdale,Whitf\xe2\x80\xa6'"
2018-08-09 21:43:51,b'Too good when u start watching a series and get pure addicted to it'
2018-08-09 21:25:37,"b""RT @JimCMackintosh: Wee mention of an event this Sunday at Cargill's Bistro, Blairgowrie from 3pm.\nPoetry from myself, Jon Plunkett &amp; Morag\xe2\x80\xa6"""
2018-08-09 21:17:35,"b'RT @TransfersFG_EN: BOURNEMOUTH  TRANSFERS:\xe2\x9a\xa0\xef\xb8\x8f\n\xe2\x9d\x8c: Afobe,Cargill, Mahoney, Federici,Quigley, Ndoli, Allsop,Surridge,Matthews.\n\xe2\x9c\x85Ramsdale,Whitf\xe2\x80\xa6'"
2018-08-09 21:12:37,"b'RT @JustinTrudeau: I also had a good call with David MacLennan, CEO of @Cargill, on the benefits of free trade and how businesses on both s\xe2\x80\xa6'"
2018-08-09 21:06:33,"b""RT @CoulibalyCartel: I cannot even explain how much I love Lassana Coulibaly as a player. Words can't do it justice.\n\nAbsolutely incredible\xe2\x80\xa6"""
2018-08-09 21:05:19,"b'RT @TransfersFG_EN: BOURNEMOUTH  TRANSFERS:\xe2\x9a\xa0\xef\xb8\x8f\n\xe2\x9d\x8c: Afobe,Cargill, Mahoney, Federici,Quigley, Ndoli, Allsop,Surridge,Matthews.\n\xe2\x9c\x85Ramsdale,Whitf\xe2\x80\xa6'"
